assembly	n_18S	n_28S	n_full_units	n_5S_units	n_5S_arrays	largest_5S_array	largest_5S_left	largest_5S_right	DJ_copy_eq	n_DJ_copies	n_arrays	n_arrays_ge2	n_arrays_ge10	largest_array	n_closed	units_in_closed	n_closed_DJ	n_periods	n_periods_identical	period_median	n_periods_outside_40_50kb	sides_contig_end	sides_gap	sides_flank	person	haplotype	method	version	phasing	source	censat_rdna_bp	group
HG03831_mat_hprc_r2_v1.0.1	142	138	91	97	1	97	flank	flank	4.878	5	50	31	2	12	0	0	0	92	0	44430.0	0	90	0	10	HG03831	mat	hifiasm	0.19.7	trio	hprc	4473867.0	hifiasm trio (0.19.7)
NA20762_hap2_hprc_r2_v1.0.1	13	10	8	50	1	50	flank	flank	2.745	3	5	2	0	6	0	0	0	8	0	44221.5	0	1	4	5	NA20762	hap2	verkko	2.2.1	hic	hpp	532551.0	Verkko
HG01071_mat_hprc_r2_v1.0.1	93	89	69	87	1	87	flank	flank	4.998	5	30	24	1	10	1	10	1	63	0	44954.0	1	50	0	10	HG01071	mat	hifiasm	0.19.9	trio	hprc	3265968.0	hifiasm trio (0.19.9)
HG00323_hap2_hprc_r2_v1.0.1	121	119	84	78	1	78	flank	flank	4.952	5	35	26	1	14	1	14	1	86	0	44864.0	8	61	0	9	HG00323	hap2	hifiasm	0.19.9	hic	hprc	4246910.0	hifiasm Hi-C (0.19.8-9)
HG02392_hap1_hprc_r2_v1.0.1	157	147	110	73	1	73	flank	flank	5.941	6	32	30	3	15	2	21	2	125	4	44889.0	7	51	0	13	HG02392	hap1	hifiasm	0.19.9	hic	hprc	5703884.0	hifiasm Hi-C (0.19.8-9)
HG00253_hap1_hprc_r2_v1.0.1	110	105	71	132	1	132	flank	flank	4.995	5	34	28	1	16	1	3	1	76	0	44909.5	5	54	4	10	HG00253	hap1	hifiasm	0.19.9	hic	hprc	3653443.0	hifiasm Hi-C (0.19.8-9)
HG03804_pat_hprc_r2_v1.0.1	67	66	59	115	1	115	flank	flank	5.055	5	20	16	0	8	2	7	2	47	0	44970.0	1	30	0	10	HG03804	pat	hifiasm	0.19.9	trio	hprc	2132681.0	hifiasm trio (0.19.9)
NA18940_hap2_hprc_r2_v1.0.1	38	38	34	126	1	126	flank	flank	1.564	1	4	4	1	24	0	0	0	34	2	44885.0	0	3	2	3	NA18940	hap2	hifiasm	0.19.8	hic	hpp	1757880.0	hifiasm Hi-C (0.19.8-9)
NA18570_hap2_hprc_r2_v1.0.1	107	103	91	86	1	86	flank	flank	4.01	4	14	12	2	21	3	32	3	93	0	44954.0	1	19	0	9	NA18570	hap2	hifiasm	0.19.9	hic	hprc	4338293.0	hifiasm Hi-C (0.19.8-9)
HG02668_pat_hprc_r2_v1.0.1	150	148	116	101	1	101	flank	flank	5.037	5	47	39	1	14	0	0	0	103	0	44760.0	2	84	0	10	HG02668	pat	hifiasm	0.19.9	trio	hprc	4858118.0	hifiasm trio (0.19.9)
HG03471_hap2_hprc_r2_v1.0.1	169	165	86	71	1	71	flank	flank	4.127	4	36	31	6	14	0	0	0	133	0	44969.0	10	59	2	11	HG03471	hap2	hifiasm	0.19.9	hic	hprc	6338015.0	hifiasm Hi-C (0.19.8-9)
HG03516_pat_hprc_r2_v1.1.0	99	95	75	152	1	152	flank	flank	4.975	5	33	23	1	10	0	0	0	66	0	44936.5	1	56	0	10	HG03516	pat	hifiasm	0.19.9	trio	hprc	3084479.0	hifiasm trio (0.19.9)
HG03369_hap2_hprc_r2_v1.0.1	171	169	126	69	1	69	flank	flank	6.038	6	38	30	3	22	0	0	0	133	0	44883.0	4	63	2	11	HG03369	hap2	hifiasm	0.19.9	hic	hprc	6216646.0	hifiasm Hi-C (0.19.8-9)
HG02668_mat_hprc_r2_v1.0.1	82	79	64	91	1	91	flank	flank	5.021	5	18	13	2	10	1	4	1	64	0	44941.0	0	26	0	10	HG02668	mat	hifiasm	0.19.9	trio	hprc	2870049.0	hifiasm trio (0.19.9)
HG03270_hap1_hprc_r2_v1.0.1	187	180	161	113	1	113	flank	flank	5.149	5	34	26	8	19	0	0	0	153	0	44903.0	0	57	2	9	HG03270	hap1	hifiasm	0.19.9	hic	hprc	7143572.0	hifiasm Hi-C (0.19.8-9)
HG03516_mat_hprc_r2_v1.1.0	84	83	56	92	1	92	flank	flank	5.043	5	26	21	0	8	2	14	2	58	0	44886.5	3	42	0	10	HG03516	mat	hifiasm	0.19.9	trio	hprc	2874178.0	hifiasm trio (0.19.9)
NA18982_hap1_hprc_r2_v1.0.1	146	140	106	68	1	68	flank	flank	6.723	7	23	21	1	43	3	49	3	123	0	44973.0	1	32	2	12	NA18982	hap1	hifiasm	0.19.8	hic	hpp	5957311.0	hifiasm Hi-C (0.19.8-9)
HG01071_pat_hprc_r2_v1.0.1	115	109	87	49	1	49	flank	flank	5.108	5	37	24	2	19	0	0	0	78	0	44935.5	2	64	0	10	HG01071	pat	hifiasm	0.19.9	trio	hprc	3710293.0	hifiasm trio (0.19.9)
HG00280_hap1_hprc_r2_v1.0.1	148	144	119	93	1	93	flank	flank	6.508	6	43	34	2	15	0	0	0	105	0	44784.0	2	71	4	11	HG00280	hap1	hifiasm	0.19.9	hic	hprc	4473528.0	hifiasm Hi-C (0.19.8-9)
NA18508_hap1_hprc_r2_v1.0.1	107	105	75	113	1	113	flank	flank	2.086	2	23	21	2	12	1	5	1	84	2	44279.5	1	40	0	6	NA18508	hap1	hifiasm	0.19.9	hic	hprc	3989500.0	hifiasm Hi-C (0.19.8-9)
HG00344_hap1_hprc_r2_v1.0.1	161	156	87	77	1	77	flank	flank	8.067	8	36	29	2	13	1	13	1	125	0	44410.0	7	56	3	13	HG00344	hap1	hifiasm	0.19.9	hic	hprc	5943438.0	hifiasm Hi-C (0.19.8-9)
NA18970_hap2_hprc_r2_v1.0.1	138	134	108	90	1	90	flank	flank	6.79	7	18	17	5	27	4	58	4	120	2	44838.5	5	23	1	12	NA18970	hap2	hifiasm	0.19.8	hic	hpp	5486863.0	hifiasm Hi-C (0.19.8-9)
NA20905_hap2_hprc_r2_v1.0.1	174	167	137	58	1	58	flank	flank	6.971	7	40	31	5	18	2	11	2	134	0	44801.0	9	66	2	12	NA20905	hap2	hifiasm	0.19.9	hic	hprc	6618314.0	hifiasm Hi-C (0.19.8-9)
HG00272_hap2_hprc_r2_v1.0.1	132	129	101	75	1	75	flank	flank	5.047	5	24	22	6	13	1	9	1	108	0	44800.5	1	33	6	9	HG00272	hap2	hifiasm	0.19.9	hic	hprc	4858050.0	hifiasm Hi-C (0.19.8-9)
HG03804_mat_hprc_r2_v1.0.1	175	170	122	101	1	101	flank	flank	5.206	5	44	38	1	19	0	0	0	131	0	44902.0	2	78	0	10	HG03804	mat	hifiasm	0.19.9	trio	hprc	6202829.0	hifiasm trio (0.19.9)
NA19036_hap2_hprc_r2_v1.0.1	115	112	82	124	1	124	flank	flank	4.1	4	29	25	2	13	1	6	1	86	0	44279.5	2	48	0	10	NA19036	hap2	hifiasm	0.19.9	hic	hprc	4087820.0	hifiasm Hi-C (0.19.8-9)
HG03195_hap1_hprc_r2_v1.0.1	136	134	106	158	1	158	flank	flank	5.08	5	34	23	5	16	1	16	1	102	0	44301.5	3	58	1	9	HG03195	hap1	hifiasm	0.19.9	hic	hprc	4619837.0	hifiasm Hi-C (0.19.8-9)
HG03816_mat_hprc_r2_v1.0.1	100	94	67	117	1	117	flank	flank	4.982	5	29	24	1	12	1	5	1	71	0	44806.0	2	48	0	10	HG03816	mat	hifiasm	0.19.9	trio	hprc	3387217.0	hifiasm trio (0.19.9)
HG02809_pat_hprc_r2_v1.0.1	137	133	94	85	1	85	flank	flank	4.883	5	41	32	3	14	2	12	2	96	2	44391.5	5	72	0	10	HG02809	pat	hifiasm	0.19.9	trio	hprc	4273674.0	hifiasm trio (0.19.9)
NA18747_hap1_hprc_r2_v1.0.1	131	127	73	69	1	69	flank	flank	4.932	5	28	23	3	13	0	0	0	103	0	44843.0	14	43	2	11	NA18747	hap1	hifiasm	0.19.9	hic	hprc	4310553.0	hifiasm Hi-C (0.19.8-9)
HG03831_pat_hprc_r2_v1.0.1	82	76	48	105	1	105	flank	flank	5.116	5	30	21	0	9	0	0	0	52	0	44586.5	1	52	0	8	HG03831	pat	hifiasm	0.19.7	trio	hprc	2810959.0	hifiasm trio (0.19.7)
NA19159_hap1_hprc_r2_v1.0.1	160	151	111	75	1	75	flank	flank	5.913	6	33	29	2	13	3	15	3	127	0	44266.0	2	54	0	12	NA19159	hap1	hifiasm	0.19.9	hic	hprc	6011661.0	hifiasm Hi-C (0.19.8-9)
HG00673_pat_hprc_r2_v1.0.1	92	87	70	79	1	79	flank	flank	3.698	4	19	14	2	18	0	0	0	73	0	44930.0	2	29	0	9	HG00673	pat	hifiasm	0.19.9	trio	hprc	3083244.0	hifiasm trio (0.19.9)
HG03130_hap1_hprc_r2_v1.0.1	113	106	86	83	1	83	flank	flank	6.922	7	20	18	2	15	4	28	4	93	0	44284.0	1	27	0	13	HG03130	hap1	hifiasm	0.19.9	hic	hprc	4477575.0	hifiasm Hi-C (0.19.8-9)
NA20752_hap2_hprc_r2_v1.0.1	204	202	119	138	1	138	flank	flank	6.602	7	46	32	7	19	1	6	1	158	0	44884.0	26	77	3	12	NA20752	hap2	hifiasm	0.19.9	hic	hprc	7389069.0	hifiasm Hi-C (0.19.8-9)
HG01943_pat_hprc_r2_v1.0.1	92	85	37	89	1	89	flank	flank	3.36	2	30	25	0	9	1	4	1	62	0	44354.5	0	49	2	9	HG01943	pat	hifiasm	0.19.9	trio	hprc	3178594.0	hifiasm trio (0.19.9)
HG00408_pat_hprc_r2_v1.0.1	125	124	83	101	1	101	flank	flank	4.932	5	34	23	3	14	0	0	0	91	0	44762.0	0	54	4	10	HG00408	pat	hifiasm	0.19.7	trio	hprc	3571566.0	hifiasm trio (0.19.7)
NA20799_hap2_hprc_r2_v1.0.1	165	160	133	98	1	98	flank	flank	2.365	2	28	25	4	36	0	0	0	137	0	44943.0	2	48	1	7	NA20799	hap2	hifiasm	0.19.9	hic	hprc	6188163.0	hifiasm Hi-C (0.19.8-9)
HG02129_pat_hprc_r2_v1.0.1	102	97	77	97	1	97	flank	flank	4.979	5	26	23	2	13	0	0	0	76	0	44860.0	0	42	0	10	HG02129	pat	hifiasm	0.19.7	trio	hprc	3601219.0	hifiasm trio (0.19.7)
HG04199_mat_hprc_r2_v1.0.1	129	123	88	73	1	73	flank	flank	5.115	5	42	31	0	9	1	4	1	87	0	44910.0	3	72	2	10	HG04199	mat	hifiasm	0.19.7	trio	hprc	4116999.0	hifiasm trio (0.19.7)
HG00738_pat_hprc_r2_v1.0.1	84	79	50	69	1	69	flank	flank	5.871	6	32	19	0	8	1	8	1	52	0	44854.0	2	55	0	9	HG00738	pat	hifiasm	0.19.7	trio	hprc	2796326.0	hifiasm trio (0.19.7)
HG01074_pat_hprc_r2_v1.0.1	117	110	86	99	1	99	flank	flank	5.056	5	33	27	2	12	2	7	1	84	0	44872.5	0	54	0	12	HG01074	pat	hifiasm	0.19.9	trio	hprc	4100621.0	hifiasm trio (0.19.9)
HG01433_mat_hprc_r2_v1.0.1	121	115	81	105	1	105	flank	flank	4.113	4	33	28	1	16	0	0	0	88	0	45015.0	1	57	0	9	HG01433	mat	hifiasm	0.19.7	trio	hprc	4465265.0	hifiasm trio (0.19.7)
HG01940_mat_hprc_r2_v1.0.1	69	67	48	36	1	36	flank	flank	5.022	5	18	18	2	11	2	15	2	51	2	44779.0	1	26	0	10	HG01940	mat	hifiasm	0.19.9	trio	hprc	2618029.0	hifiasm trio (0.19.9)
NA21093_hap2_hprc_r2_v1.0.1	134	127	83	112	1	112	flank	flank	6.189	6	37	34	2	11	2	13	2	97	2	44689.0	3	60	2	12	NA21093	hap2	hifiasm	0.19.9	hic	hprc	4711465.0	hifiasm Hi-C (0.19.8-9)
HG01258_pat_hprc_r2_v1.0.1	81	77	53	75	1	75	flank	flank	5.376	5	19	17	2	14	3	19	3	62	0	44326.5	4	27	0	11	HG01258	pat	hifiasm	0.19.7	trio	hprc	2964411.0	hifiasm trio (0.19.7)
NA20129_pat_hprc_r2_v1.0.1	65	61	40	72	2	64	flank	gap	5.046	5	14	13	2	14	4	22	4	51	2	44184.0	3	18	0	10	NA20129	pat	hifiasm	0.19.9	trio	hprc	2504048.0	hifiasm trio (0.19.9)
NA19043_hap2_hprc_r2_v1.0.1	78	71	60	139	1	139	flank	flank	4.115	4	20	18	1	11	1	2	1	58	0	44923.0	1	32	0	8	NA19043	hap2	hifiasm	0.19.9	hic	hprc	2833004.0	hifiasm Hi-C (0.19.8-9)
HG00438_mat_hprc_r2_v1.0.1	115	111	65	73	1	73	flank	flank	5.196	5	30	25	2	18	1	18	1	85	0	44448.0	1	50	0	10	HG00438	mat	hifiasm	0.19.9	trio	hprc	4159593.0	hifiasm trio (0.19.9)
HG02273_hap2_hprc_r2_v1.0.1	155	152	117	139	1	139	flank	flank	5.147	4	37	29	4	20	1	10	1	118	0	44883.0	4	57	5	12	HG02273	hap2	hifiasm	0.19.9	hic	hprc	5891879.0	hifiasm Hi-C (0.19.8-9)
HG02818_mat_hprc_r2_v1.0.1	74	70	58	114	1	114	flank	flank	4.991	5	21	19	0	9	2	5	2	53	0	44501.0	2	32	0	10	HG02818	mat	hifiasm	0.19.9	trio	hprc	2527434.0	hifiasm trio (0.19.9)
HG04157_pat_hprc_r2_v1.0.1	80	72	50	53	1	53	flank	flank	5.171	5	30	21	1	11	2	7	2	50	0	44601.5	1	50	2	8	HG04157	pat	hifiasm	0.19.9	trio	hprc	2586045.0	hifiasm trio (0.19.9)
HG01530_hap1_hprc_r2_v1.0.1	132	132	88	126	1	126	flank	flank	4.304	4	24	24	6	12	0	0	0	108	2	44787.5	4	38	2	8	HG01530	hap1	hifiasm	0.19.9	hic	hprc	4531425.0	hifiasm Hi-C (0.19.8-9)
NA18943_hap2_hprc_r2_v1.0.1	93	88	73	81	1	81	flank	flank	4.263	4	13	13	4	22	2	31	2	80	2	44820.0	1	16	1	9	NA18943	hap2	hifiasm	0.19.8	hic	hpp	3700768.0	hifiasm Hi-C (0.19.8-9)
HG02027_pat_hprc_r2_v1.0.1	91	83	62	136	1	136	flank	flank	5.143	5	24	20	2	16	3	12	3	67	0	44837.0	0	38	0	10	HG02027	pat	hifiasm	0.19.7	trio	hprc	3177992.0	hifiasm trio (0.19.7)
NA18974_hap2_hprc_r2_v1.0.1	124	119	87	84	1	84	flank	flank	5.047	5	25	23	3	12	1	9	1	99	6	44947.0	0	42	0	8	NA18974	hap2	hifiasm	0.19.9	hic	hprc	4291486.0	hifiasm Hi-C (0.19.8-9)
HG02148_pat_hprc_r2_v1.0.1	150	144	106	75	1	75	flank	flank	5.625	6	39	27	3	16	0	0	0	111	0	44807.0	3	69	0	9	HG02148	pat	hifiasm	0.19.7	trio	hprc	5110611.0	hifiasm trio (0.19.7)
HG02723_mat_hprc_r2_v1.0.1	107	99	75	98	1	98	flank	flank	4.906	5	20	19	4	12	2	14	2	87	0	44246.0	1	29	2	9	HG02723	mat	hifiasm	0.19.9	trio	hprc	4044534.0	hifiasm trio (0.19.9)
NA19391_hap2_hprc_r2_v1.0.1	107	100	82	83	2	42	flank	flank	4.007	4	18	17	3	22	2	18	2	89	0	44539.0	4	23	4	9	NA19391	hap2	hifiasm	0.19.9	hic	hprc	4233290.0	hifiasm Hi-C (0.19.8-9)
HG01952_mat_hprc_r2_v1.0.1	109	102	72	36	1	36	flank	flank	4.938	5	30	22	3	11	0	0	0	79	0	44824.0	2	50	0	10	HG01952	mat	hifiasm	0.19.7	trio	hprc	3861247.0	hifiasm trio (0.19.7)
NA20346_hap1_hprc_r2_v1.0.1	187	179	140	79	1	79	flank	flank	5.915	6	41	36	5	17	0	0	0	146	0	44888.0	10	68	2	12	NA20346	hap1	hifiasm	0.19.9	hic	hprc	6767010.0	hifiasm Hi-C (0.19.8-9)
HG02300_pat_hprc_r2_v1.0.1	119	113	101	88	1	88	flank	flank	5.088	5	37	27	2	10	0	0	0	82	0	44810.0	1	65	0	9	HG02300	pat	hifiasm	0.19.7	trio	hprc	4255117.0	hifiasm trio (0.19.7)
NA18952_hap1_hprc_r2_v1.0.1	141	138	107	65	1	65	flank	flank	5.999	6	35	26	2	11	0	0	0	106	0	44818.0	5	60	0	10	NA18952	hap1	hifiasm	0.19.9	hic	hprc	5347773.0	hifiasm Hi-C (0.19.8-9)
HG03834_pat_hprc_r2_v1.0.1	103	98	69	45	1	45	flank	flank	5.166	5	18	16	3	15	3	30	3	85	2	44876.0	2	26	0	10	HG03834	pat	hifiasm	0.19.7	trio	hprc	4017789.0	hifiasm trio (0.19.7)
HG02391_hap1_hprc_r2_v1.0.1	246	241	208	58	1	58	flank	flank	5.055	5	48	40	6	22	1	8	1	198	2	44823.5	2	86	0	10	HG02391	hap1	hifiasm	0.19.9	hic	hprc	9198363.0	hifiasm Hi-C (0.19.8-9)
HG00320_hap2_hprc_r2_v1.0.1	144	137	95	66	1	66	flank	flank	4.401	4	25	25	4	19	1	13	1	119	0	44915.0	3	43	0	7	HG00320	hap2	hifiasm	0.19.9	hic	hprc	5380118.0	hifiasm Hi-C (0.19.8-9)
HG01891_mat_hprc_r2_v1.0.1	65	62	44	101	1	101	flank	flank	3.957	4	24	20	0	7	2	5	2	40	0	44244.0	0	36	2	10	HG01891	mat	hifiasm	0.19.7	trio	hprc	2010445.0	hifiasm trio (0.19.7)
HG01975_pat_hprc_r2_v1.0.1	84	79	55	71	1	71	flank	flank	5.024	5	29	18	0	9	1	9	1	55	0	44960.0	3	48	0	10	HG01975	pat	hifiasm	0.19.7	trio	hprc	2957851.0	hifiasm trio (0.19.7)
HG02280_mat_hprc_r2_v1.0.1	133	131	78	74	1	74	flank	flank	5.007	5	30	21	5	16	1	11	1	103	0	44179.0	9	50	0	10	HG02280	mat	hifiasm	0.19.7	trio	hprc	4979225.0	hifiasm trio (0.19.7)
HG01109_pat_hprc_r2_v1.0.1	96	94	70	78	1	78	flank	flank	5.192	5	32	22	1	11	0	0	0	64	0	44223.5	0	54	0	10	HG01109	pat	hifiasm	0.19.9	trio	hprc	2883274.0	hifiasm trio (0.19.9)
HG00621_pat_hprc_r2_v1.0.1	121	118	82	92	1	92	flank	flank	3.329	3	36	27	1	10	0	0	0	85	0	44811.0	4	59	3	10	HG00621	pat	hifiasm	0.19.7	trio	hprc	3826513.0	hifiasm trio (0.19.7)
NA20282_hap1_hprc_r2_v1.0.1	129	124	93	82	1	82	flank	flank	5.988	6	21	20	5	20	1	9	1	108	2	44833.0	8	32	0	10	NA20282	hap1	hifiasm	0.19.9	hic	hprc	4477931.0	hifiasm Hi-C (0.19.8-9)
NA18945_hap1_hprc_r2_v1.0.1	63	56	40	56	1	56	flank	flank	6.735	7	16	14	1	11	4	19	4	47	0	44881.0	3	17	3	12	NA18945	hap1	hifiasm	0.19.8	hic	hpp	2275404.0	hifiasm Hi-C (0.19.8-9)
NA20806_hap2_hprc_r2_v1.0.1	12	10	4	84	2	67	flank	gap	5.1	5	9	1	0	4	1	1	1	3	0	40482.0	0	6	2	10	NA20806	hap2	verkko	2.2.1	hic	hpp	455094.0	Verkko
HG00735_pat_hprc_r2_v1.0.1	67	63	48	63	1	63	flank	flank	4.825	5	22	16	1	10	3	14	3	45	0	44951.0	0	34	0	10	HG00735	pat	hifiasm	0.19.7	trio	hprc	2285929.0	hifiasm trio (0.19.7)
HG03453_pat_hprc_r2_v1.0.1	90	85	67	113	1	113	flank	flank	4.998	5	39	19	0	9	1	4	1	51	2	44348.0	0	67	1	10	HG03453	pat	hifiasm	0.19.7	trio	hprc	3037473.0	hifiasm trio (0.19.7)
HG02523_mat_hprc_r2_v1.0.1	108	100	69	76	1	76	flank	flank	4.044	4	29	21	3	13	2	13	2	79	4	44207.0	8	48	0	10	HG02523	mat	hifiasm	0.19.7	trio	hprc	3747941.0	hifiasm trio (0.19.7)
HG03704_mat_hprc_r2_v1.0.1	55	49	38	34	1	34	flank	flank	5.233	5	16	13	1	10	4	26	4	39	0	44906.0	1	22	0	10	HG03704	mat	hifiasm	0.19.7	trio	hprc	1807824.0	hifiasm trio (0.19.7)
HG02080_mat_hprc_r2_v1.0.1	152	149	121	91	1	91	flank	flank	4.401	4	44	30	2	16	0	0	0	108	0	44761.0	2	78	0	10	HG02080	mat	hifiasm	0.19.9	trio	hprc	5321344.0	hifiasm trio (0.19.9)
HG02922_hap2_hprc_r2_v1.0.1	141	138	92	67	1	67	flank	flank	2.125	2	32	25	5	19	0	0	0	109	0	44742.0	7	55	2	7	HG02922	hap2	hifiasm	0.19.9	hic	hprc	5394699.0	hifiasm Hi-C (0.19.8-9)
HG03225_hap1_hprc_r2_v1.0.1	164	157	130	118	1	118	flank	flank	5.917	6	41	33	3	17	0	0	0	123	0	44882.0	6	67	4	11	HG03225	hap1	hifiasm	0.19.9	hic	hprc	5999583.0	hifiasm Hi-C (0.19.8-9)
HG01255_pat_hprc_r2_v1.0.1	143	137	121	96	1	96	flank	flank	4.974	5	34	30	1	10	1	8	1	109	0	44823.0	2	57	1	10	HG01255	pat	hifiasm	0.19.7	trio	hprc	4814371.0	hifiasm trio (0.19.7)
HG03710_pat_hprc_r2_v1.0.1	150	145	114	106	1	106	flank	flank	5.135	5	45	36	2	12	2	3	1	105	0	44750.0	3	79	0	11	HG03710	pat	hifiasm	0.19.7	trio	hprc	4980607.0	hifiasm trio (0.19.7)
HG00706_pat_hprc_r2_v1.0.1	112	106	80	75	1	75	flank	flank	4.921	5	33	27	2	12	0	0	0	79	0	44861.0	0	54	2	10	HG00706	pat	hifiasm	0.19.9	trio	hprc	3307314.0	hifiasm trio (0.19.9)
HG02647_pat_hprc_r2_v1.0.1	85	81	61	104	1	104	flank	flank	5.051	5	34	22	0	9	0	0	0	51	0	44862.0	1	58	0	10	HG02647	pat	hifiasm	0.19.7	trio	hprc	2943659.0	hifiasm trio (0.19.7)
NA18522_hap2_hprc_r2_v1.0.1	96	93	65	99	1	99	flank	flank	4.26	4	25	19	3	15	2	15	2	71	0	44941.0	3	38	2	10	NA18522	hap2	hifiasm	0.19.9	hic	hprc	3447059.0	hifiasm Hi-C (0.19.8-9)
HG02155_hap2_hprc_r2_v1.0.1	140	139	100	75	1	75	flank	flank	3.956	4	28	23	4	19	2	24	2	112	0	44818.5	1	44	3	9	HG02155	hap2	hifiasm	0.19.9	hic	hprc	5280959.0	hifiasm Hi-C (0.19.8-9)
HG03579_pat_hprc_r2_v1.0.1	115	113	73	126	1	126	flank	flank	5.098	5	30	25	1	13	0	0	0	85	0	44438.0	1	50	0	10	HG03579	pat	hifiasm	0.19.9	trio	hprc	4010536.0	hifiasm trio (0.19.9)
HG02145_pat_hprc_r2_v1.0.1	120	119	79	70	1	70	flank	flank	4.687	5	49	37	1	11	0	0	0	71	0	44413.0	1	89	0	9	HG02145	pat	hifiasm	0.19.9	trio	hprc	3836664.0	hifiasm trio (0.19.9)
HG03942_mat_hprc_r2_v1.0.1	140	129	100	135	1	135	flank	flank	5.093	5	43	37	1	11	1	2	1	97	0	43522.0	5	74	2	10	HG03942	mat	hifiasm	0.19.9	trio	hprc	4897405.0	hifiasm trio (0.19.9)
HG00733_mat_hprc_r2_v1.0.1	205	197	140	122	1	122	flank	flank	4.991	5	52	43	3	17	0	0	0	153	0	44823.0	5	95	0	9	HG00733	mat	hifiasm	0.19.9	trio	hprc	6990553.0	hifiasm trio (0.19.9)
HG01123_mat_hprc_r2_v1.0.1	60	54	46	103	1	103	flank	flank	5.002	5	11	10	2	17	4	39	4	49	0	44398.0	1	12	0	10	HG01123	mat	hifiasm	0.19.9	trio	hprc	2379773.0	hifiasm trio (0.19.9)
HG02572_pat_hprc_r2_v1.0.1	85	83	60	118	1	118	flank	flank	4.069	4	25	20	0	9	1	9	0	60	0	44884.0	1	40	0	10	HG02572	pat	hifiasm	0.19.7	trio	hprc	3076885.0	hifiasm trio (0.19.7)
HG01358_mat_hprc_r2_v1.0.1	100	91	63	79	1	79	flank	flank	5.241	5	30	27	1	12	2	16	2	70	0	44878.0	3	50	0	10	HG01358	mat	hifiasm	0.19.9	trio	hprc	3248839.0	hifiasm trio (0.19.9)
NA21106_hap2_hprc_r2_v1.0.1	105	100	82	112	1	112	flank	flank	6.133	6	22	20	3	21	2	18	2	83	0	44732.0	4	32	0	12	NA21106	hap2	hifiasm	0.19.9	hic	hprc	4103249.0	hifiasm Hi-C (0.19.8-9)
HG02135_mat_hprc_r2_v1.0.1	118	107	75	82	1	82	flank	flank	4.913	5	37	31	2	12	0	0	0	81	0	44430.0	2	65	0	9	HG02135	mat	hifiasm	0.19.9	trio	hprc	4019198.0	hifiasm trio (0.19.9)
HG02602_pat_hprc_r2_v1.0.1	86	88	67	70	1	70	flank	flank	4.998	5	28	17	1	14	2	9	2	58	0	44865.5	2	46	0	10	HG02602	pat	hifiasm	0.19.9	trio	hprc	2295789.0	hifiasm trio (0.19.9)
HG02841_pat_hprc_r2_v1.0.1	93	87	58	62	1	62	flank	flank	5.008	5	29	23	0	9	0	0	0	64	0	44905.5	1	48	0	10	HG02841	pat	hifiasm	0.19.9	trio	hprc	3069695.0	hifiasm trio (0.19.9)
HG00597_mat_hprc_r2_v1.0.1	106	96	61	71	1	71	flank	flank	5.544	5	41	31	1	11	1	4	1	65	4	44803.0	2	70	2	10	HG00597	mat	hifiasm	0.19.7	trio	hprc	3466478.0	hifiasm trio (0.19.7)
NA18608_hap2_hprc_r2_v1.0.1	143	141	98	77	1	77	flank	flank	2.199	2	26	23	6	16	1	10	1	117	0	44840.0	5	44	1	7	NA18608	hap2	hifiasm	0.19.9	hic	hprc	5406751.0	hifiasm Hi-C (0.19.8-9)
NA19185_hap1_hprc_r2_v1.0.1	160	155	137	74	2	41	flank	flank	4.105	4	34	28	3	14	1	6	1	126	0	44293.0	1	57	2	9	NA19185	hap1	hifiasm	0.19.9	hic	hprc	6276967.0	hifiasm Hi-C (0.19.8-9)
NA21102_hap2_hprc_r2_v1.0.1	93	93	75	122	1	122	flank	flank	5.982	6	22	17	2	10	3	25	3	71	0	44827.0	2	35	0	9	NA21102	hap2	hifiasm	0.19.9	hic	hprc	3482255.0	hifiasm Hi-C (0.19.8-9)
HG02257_mat_hprc_r2_v1.1.0	84	85	55	122	1	122	flank	flank	5.027	5	18	14	2	15	1	4	1	66	0	44014.5	0	26	0	10	HG02257	mat	hifiasm	0.19.9	trio	hprc	2660106.0	hifiasm trio (0.19.9)
HG005_mat_hprc_r2_v1.0.1	141	137	95	64	1	64	flank	flank	4.927	5	47	37	2	18	0	0	0	94	0	44917.0	2	84	0	10	HG005	mat	hifiasm	0.19.9	trio	hprc	4609331.0	hifiasm trio (0.19.9)
NA21144_hap2_hprc_r2_v1.0.1	161	158	118	89	1	89	flank	flank	3.583	3	30	25	5	25	0	0	0	131	0	44802.0	10	49	2	9	NA21144	hap2	hifiasm	0.19.9	hic	hprc	6026243.0	hifiasm Hi-C (0.19.8-9)
HG03784_hap2_hprc_r2_v1.0.1	143	139	107	102	1	102	flank	flank	6.142	6	37	33	2	13	0	0	0	106	0	44791.0	2	63	0	11	HG03784	hap2	hifiasm	0.19.9	hic	hprc	5271026.0	hifiasm Hi-C (0.19.8-9)
NA19700_hap1_hprc_r2_v1.0.1	139	129	114	143	1	143	flank	flank	4.978	5	30	24	4	17	0	0	0	109	0	44898.0	6	47	2	11	NA19700	hap1	hifiasm	0.19.9	hic	hprc	4944329.0	hifiasm Hi-C (0.19.8-9)
