assembly_name	status	n_regions	bp_extracted	est_bytes_fetched	seconds	bp_rdna_censat	bp_acro_parm	bp_unplaced_rdna	bp_5S_locus	n_acro_contigs_taken	n_acro_contigs_skipped	n_orientation_reversed	n_orientation_conflict	sequence_refetched	unplaced_tilescan_added	n_unplaced_tilescan_added	5S_method	5S_contig	5S_core	5S_left	5S_right	notes
HG03453_pat_hprc_r2_v1.0.1	ok	51	87017522	20703025	3.4	72807594	76421845	8129026	854424	14	2	2	0	False		0	chain_both_flanks	HG03453#1#JAGYVW020000002.1	104470070-104724494	HG03453#1#JAGYVW020000002.1:104311756-104470070(+,158246bp)	HG03453#1#JAGYVW020000002.1:104724494-104924538(+,199344bp)	
HG03540_pat_hprc_r2_v1.0.1	ok	66	102901129	25115279	39.6	79274732	90516781	10006885	765236	20	0	5	0	True	HG03540#1#JAGYVY020000116.1	1	chain_both_flanks	HG03540#1#JAGYVY020000007.1	89316036-89481272	HG03540#1#JAGYVY020000007.1:89157708-89316036(+,158239bp)	HG03540#1#JAGYVY020000007.1:89481272-89681474(+,199401bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (5 screened, 6474704 bp)
HG00099_hap1_hprc_r2_v1.0.1	ok	67	88989255	20627591	14.4	59220534	76761048	9886722	729257	30	2	7	1	True	HG00099#1#JBHDWO010000052.1	1	chain_both_flanks	HG00099#1#JBHDWO010000059.1	93408491-93537748	HG00099#1#JBHDWO010000059.1:93250235-93408491(+,158134bp)	HG00099#1#JBHDWO010000059.1:93537748-93737387(+,199545bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (1 screened, 67954 bp)
HG00140_hap1_hprc_r2_v1.0.1	ok	39	81690471	19443295	5.2	80322301	63425928	15383605	865640	13	2	2	0	False		0	chain_both_flanks	HG00140#1#CM087108.1	222620928-222886568	HG00140#1#CM087108.1:222462584-222620928(+,158326bp)	HG00140#1#CM087108.1:222886568-223086202(+,199585bp)	
HG00280_hap1_hprc_r2_v1.0.1	ok	55	89956366	20858057	46.2	79170087	71484743	15722135	809621	16	1	2	0	True	HG00280#1#JBHDWA010000020.1,HG00280#1#JBHDWA010000030.1,HG00280#1#JBHDWA010000050.1,HG00280#1#JBHDWA010000078.1,HG00280#1#JBHDWA010000089.1,HG00280#1#JBHDWA010000090.1	6	chain_both_flanks	HG00280#1#JBHDWA010000056.1	93366619-93576240	HG00280#1#JBHDWA010000056.1:93208301-93366619(+,158221bp)	HG00280#1#JBHDWA010000056.1:93576240-93775854(+,199584bp)	6 unplaced contig(s) without CenSat rDNA label added by tile screen (7 screened, 4014124 bp)
HG00323_hap1_hprc_r2_v1.0.1	ok	53	110018594	27036625	43.0	69678139	90898222	16687233	820920	22	2	8	1	True	HG00323#1#JBHDWM010000069.1,HG00323#1#JBHDWM010000089.1	2	chain_both_flanks	HG00323#1#CM087303.1	222262324-222483244	HG00323#1#CM087303.1:222104001-222262324(+,158219bp)	HG00323#1#CM087303.1:222483244-222682851(+,199577bp)	2 unplaced contig(s) without CenSat rDNA label added by tile screen (4 screened, 4209991 bp)
HG02040_hap1_hprc_r2_v1.0.1	ok	38	77758333	18530756	21.6	69686591	61517847	13464588	760621	10	1	2	0	True	HG02040#1#JBHDWS010000052.1,HG02040#1#JBHDWS010000054.1,HG02040#1#JBHDWS010000075.1	3	chain_both_flanks	HG02040#1#JBHDWS010000004.1	206374002-206534623	HG02040#1#JBHDWS010000004.1:206215683-206374002(+,158228bp)	HG02040#1#JBHDWS010000004.1:206534623-206734650(+,199500bp)	3 unplaced contig(s) without CenSat rDNA label added by tile screen (4 screened, 8833932 bp)
HG02165_hap1_hprc_r2_v1.0.1	ok	43	83352493	19527817	16.3	67658604	78956305	2014555	769405	21	1	5	0	True	HG02165#1#JBHDWW010000029.1,HG02165#1#JBHDWW010000065.1	2	chain_both_flanks	HG02165#1#JBHDWW010000042.1	91340731-91510136	HG02165#1#JBHDWW010000042.1:91182431-91340731(+,158215bp)	HG02165#1#JBHDWW010000042.1:91510136-91710481(+,199447bp)	2 unplaced contig(s) without CenSat rDNA label added by tile screen (4 screened, 438781 bp)
HG02273_hap1_hprc_r2_v1.0.1	ok	35	84058537	19790868	0.5	65128697	78531628	3125074	789607	20	1	5	1	False		0	chain_both_flanks	HG02273#1#JBHDVQ010000042.1	220053514-220243121	HG02273#1#JBHDVQ010000042.1:219895173-220053514(+,158239bp)	HG02273#1#JBHDVQ010000042.1:220243121-220442749(+,199579bp)	
HG02922_hap1_hprc_r2_v1.0.1	ok	52	98661870	21703371	29.4	97602230	80587542	14492108	789778	11	2	3	0	True	HG02922#1#JBHDVO010000078.1,HG02922#1#JBHDVO010000083.1	2	chain_both_flanks	HG02922#1#JBHDVO010000012.1	76443409-76633187	HG02922#1#JBHDVO010000012.1:76285110-76443409(+,158206bp)	HG02922#1#JBHDVO010000012.1:76633187-76833180(+,199510bp)	2 unplaced contig(s) without CenSat rDNA label added by tile screen (3 screened, 260909 bp)
HG02965_hap1_hprc_r2_v1.0.1	ok	42	82983310	19955427	23.7	81173885	77355620	2784405	828010	17	4	5	0	True	HG02965#1#JBHDWQ010000024.1,HG02965#1#JBHDWQ010000031.1,HG02965#1#JBHDWQ010000067.1	3	chain_both_flanks	HG02965#1#JBHDWQ010000055.1	86451477-86679487	HG02965#1#JBHDWQ010000055.1:86293203-86451477(+,158179bp)	HG02965#1#JBHDWQ010000055.1:86679487-86879683(+,199445bp)	3 unplaced contig(s) without CenSat rDNA label added by tile screen (7 screened, 1283848 bp)
HG02976_hap1_hprc_r2_v1.0.1	ok	47	80202157	18961972	21.8	78662985	71007325	6828581	754023	17	1	5	0	True	HG02976#1#JBHDVW010000035.1,HG02976#1#JBHDVW010000068.1	2	chain_both_flanks	HG02976#1#JBHDVW010000004.1	86870006-87024029	HG02976#1#JBHDVW010000004.1:86711725-86870006(+,158216bp)	HG02976#1#JBHDVW010000004.1:87024029-87224072(+,199352bp)	2 unplaced contig(s) without CenSat rDNA label added by tile screen (4 screened, 3565403 bp)
HG03130_hap1_hprc_r2_v1.0.1	ok	33	93267906	20343408	2.8	91598968	84487156	5976680	788793	17	0	4	1	False		0	chain_both_flanks	HG03130#1#CM087252.1	219931036-220119829	HG03130#1#CM087252.1:219774386-219931036(+,156608bp)	HG03130#1#CM087252.1:220119829-220320109(+,199473bp)	
HG03195_hap1_hprc_r2_v1.0.1	ok	43	82578370	18940344	15.0	80002948	73862980	6147472	955691	19	1	7	0	True	HG03195#1#JBHDVU010000024.1	1	chain_both_flanks	HG03195#1#CM087057.1	227849493-228205184	HG03195#1#CM087057.1:227691193-227849493(+,158140bp)	HG03195#1#CM087057.1:228205184-228405210(+,199434bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (1 screened, 510527 bp)
HG03209_hap1_hprc_r2_v1.0.1	ok	28	82252325	17093131	25.7	79338712	74573581	5368247	823338	13	0	4	0	True	HG03209#1#JBHDWG010000026.1,HG03209#1#JBHDWG010000028.1,HG03209#1#JBHDWG010000060.1,HG03209#1#JBHDWG010000065.1	4	chain_both_flanks	HG03209#1#JBHDWG010000014.1	102735527-102958865	HG03209#1#JBHDWG010000014.1:102577291-102735527(+,158152bp)	HG03209#1#JBHDWG010000014.1:102958865-103159164(+,199395bp)	4 unplaced contig(s) without CenSat rDNA label added by tile screen (5 screened, 946528 bp)
NA18522_hap1_hprc_r2_v1.0.1	ok	39	92734881	21379668	24.9	79664879	77851326	12073912	794367	12	3	3	0	True	NA18522#1#JBHDWC010000075.1	1	chain_both_flanks	NA18522#1#CM087171.1	223719809-223914176	NA18522#1#CM087171.1:223561580-223719809(+,158134bp)	NA18522#1#CM087171.1:223914176-224114364(+,199444bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (1 screened, 127409 bp)
NA18747_hap1_hprc_r2_v1.0.1	ok	34	88543380	19687014	4.1	87150414	70039827	15732371	755905	12	1	3	0	False		0	chain_both_flanks	NA18747#1#JBHDWE010000009.1	90158203-90314108	NA18747#1#JBHDWE010000009.1:89999868-90158203(+,158232bp)	NA18747#1#JBHDWE010000009.1:90314108-90513748(+,199586bp)	
NA18971_hap1_hprc_r2_v1.0.1	ok	45	102272587	25101101	27.1	101180515	84970546	14591054	695710	16	1	5	0	True	NA18971#1#JBHDWK010000045.1,NA18971#1#JBHDWK010000058.1,NA18971#1#JBHDWK010000117.1	3	chain_both_flanks	NA18971#1#JBHDWK010000013.1	86468952-86564662	NA18971#1#JBHDWK010000013.1:86310651-86468952(+,158208bp)	NA18971#1#JBHDWK010000013.1:86564662-86764363(+,199609bp)	3 unplaced contig(s) without CenSat rDNA label added by tile screen (5 screened, 718886 bp)
NA18983_hap1_hprc_r2_v1.0.1	ok	57	86193865	19463442	2.5	84984966	76847817	6572402	758369	21	2	6	0	False		0	chain_both_flanks	NA18983#1#CM087417.1	221210464-221368833	NA18983#1#CM087417.1:221052174-221210464(+,158192bp)	NA18983#1#CM087417.1:221368833-221568872(+,199534bp)	
NA19043_hap1_hprc_r2_v1.0.1	ok	30	84867280	18333557	20.3	82993177	81517630	900677	836767	15	0	5	0	True	NA19043#1#JBHDVS010000033.1,NA19043#1#JBHDVS010000068.1	2	chain_both_flanks	NA19043#1#JBHDVS010000004.1	90187101-90423868	NA19043#1#JBHDVS010000004.1:90028747-90187101(+,158231bp)	NA19043#1#JBHDVS010000004.1:90423868-90624229(+,199471bp)	2 unplaced contig(s) without CenSat rDNA label added by tile screen (3 screened, 204894 bp)
NA20905_hap1_hprc_r2_v1.0.1	ok	45	79211498	19290027	2.4	76225980	72098263	4294680	803277	20	0	7	1	False		0	chain_both_flanks	NA20905#1#JBHDWY010000004.1	88777635-88980912	NA20905#1#JBHDWY010000004.1:88619301-88777635(+,158223bp)	NA20905#1#JBHDWY010000004.1:88980912-89180611(+,199567bp)	
HG01530_hap1_hprc_r2_v1.0.1	ok	34	86537375	20247031	27.1	72862160	77530315	6108154	883629	16	3	4	1	True	HG01530#1#JBHDXF010000018.1,HG01530#1#JBHDXF010000031.1,HG01530#1#JBHDXF010000076.1	3	chain_both_flanks	HG01530#1#CM087532.1	222945221-223228850	HG01530#1#CM087532.1:222786898-222945221(+,158206bp)	HG01530#1#CM087532.1:223228850-223429177(+,199494bp)	3 unplaced contig(s) without CenSat rDNA label added by tile screen (7 screened, 3880814 bp)
HG01784_hap1_hprc_r2_v1.0.1	ok	35	77859586	17424323	30.0	76073625	66197080	9258425	791853	13	5	2	0	True	HG01784#1#JBHDXH010000078.1	1	chain_both_flanks	HG01784#1#JBHDXH010000009.1	124983338-125175191	HG01784#1#JBHDXH010000009.1:124825010-124983338(+,158225bp)	HG01784#1#JBHDXH010000009.1:125175191-125374813(+,199587bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (1 screened, 69879 bp)
HG02391_hap1_hprc_r2_v1.0.1	ok	59	82397569	19373858	2.9	80192631	69065114	10585777	731401	24	3	9	0	False		0	chain_both_flanks	HG02391#1#CM087581.1	226327816-226459217	HG02391#1#CM087581.1:226169506-226327816(+,158210bp)	HG02391#1#CM087581.1:226459217-226658829(+,199582bp)	
HG03471_hap1_hprc_r2_v1.0.1	ok	48	95681551	24634267	36.8	80971222	83913136	8847288	905850	23	0	4	0	True	HG03471#1#JBHDXD010000051.1,HG03471#1#JBHDXD010000059.1	2	chain_both_flanks	HG03471#1#JBHDXD010000015.1	89708273-90014123	HG03471#1#JBHDXD010000015.1:89549960-89708273(+,158195bp)	HG03471#1#JBHDXD010000015.1:90014123-90214541(+,199505bp)	2 unplaced contig(s) without CenSat rDNA label added by tile screen (17 screened, 9764955 bp)
HG03742_hap1_hprc_r2_v1.0.1	ok	40	78889556	17451917	6.4	65268773	73504869	2566675	897402	18	2	3	0	False		0	chain_both_flanks	HG03742#1#JBHDXL010000001.1	100522067-100819469	HG03742#1#JBHDXL010000001.1:100363717-100522067(+,158232bp)	HG03742#1#JBHDXL010000001.1:100819469-101019081(+,199579bp)	
NA18570_hap1_hprc_r2_v1.0.1	ok	33	73924819	16645136	20.9	72352314	69221220	2259068	832303	17	6	4	0	True	NA18570#1#JBHDXN010000018.1,NA18570#1#JBHDXN010000030.1	2	chain_both_flanks	NA18570#1#JBHDXN010000046.1	89959091-90191394	NA18570#1#JBHDXN010000046.1:89800742-89959091(+,158245bp)	NA18570#1#JBHDXN010000046.1:90191394-90391034(+,199582bp)	2 unplaced contig(s) without CenSat rDNA label added by tile screen (4 screened, 390828 bp)
NA19087_hap1_hprc_r2_v1.0.1	ok	43	96543274	23198633	25.7	94994599	88293183	5926605	711258	21	4	7	0	True	NA19087#1#JBHDXP010000040.1,NA19087#1#JBHDXP010000074.1	2	chain_both_flanks	NA19087#1#JBHDXP010000007.1	87876593-87987851	NA19087#1#JBHDXP010000007.1:87718248-87876593(+,158231bp)	NA19087#1#JBHDXP010000007.1:87987851-88187470(+,199583bp)	2 unplaced contig(s) without CenSat rDNA label added by tile screen (3 screened, 546396 bp)
NA19185_hap1_hprc_r2_v1.0.1	ok	50	83000534	18403939	22.5	80014904	67049567	13566720	772019	22	1	7	0	True	NA19185#1#JBHDXR010000025.1,NA19185#1#JBHDXR010000063.1	2	chain_both_flanks	NA19185#1#CM087719.1	230066839-230238858	NA19185#1#CM087719.1:229908559-230066839(+,158180bp)	NA19185#1#CM087719.1:230238858-230439051(+,199445bp)	2 unplaced contig(s) without CenSat rDNA label added by tile screen (2 screened, 145687 bp)
NA19338_hap1_hprc_r2_v1.0.1	ok	27	80710277	18306196	33.6	79750569	72850129	5458489	789432	11	4	4	0	True	NA19338#1#JBHDXT010000023.1	1	chain_both_flanks	NA19338#1#JBHDXT010000005.1	86617064-86806496	NA19338#1#JBHDXT010000005.1:86458775-86617064(+,158235bp)	NA19338#1#JBHDXT010000005.1:86806496-87006742(+,199457bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (2 screened, 231269 bp)
NA19391_hap1_hprc_r2_v1.0.1	ok	35	85171808	18121262	19.7	83420432	71205204	11354625	999751	14	0	4	0	True	NA19391#1#JBHDXV010000032.1,NA19391#1#JBHDXV010000068.1	2	chain_both_flanks	NA19391#1#JBHDXV010000011.1	86999418-87399169	NA19391#1#JBHDXV010000011.1:86841252-86999418(+,158096bp)	NA19391#1#JBHDXV010000011.1:87399169-87599503(+,199469bp)	2 unplaced contig(s) without CenSat rDNA label added by tile screen (3 screened, 1008789 bp)
NA19468_hap1_hprc_r2_v1.0.1	ok	33	70327358	15657471	0.5	69646503	61825839	6611518	680855	10	8	3	0	False		0	chain_both_flanks	NA19468#1#JBHDXX010000016.1	100958534-101039389	NA19468#1#JBHDXX010000016.1:100801050-100958534(+,157375bp)	NA19468#1#JBHDXX010000016.1:101039389-101239660(+,199479bp)	
HG00438_pat_hprc_r2_v1.0.1	ok	39	92020343	20889945	22.5	90775041	76787587	12765871	854657	13	3	4	0	True	HG00438#1#JAHBCB020000061.1	1	chain_both_flanks	HG00438#1#CM089167.1	232530960-232785617	HG00438#1#CM089167.1:232372605-232530960(+,158246bp)	HG00438#1#CM089167.1:232785617-232985232(+,199521bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (1 screened, 109708 bp)
HG00558_pat_hprc_r2_v1.0.1	ok	33	74017077	16513908	41.5	71011894	69168425	2462626	773798	13	4	2	0	True	HG00558#1#JBHIHC010000052.1	1	chain_both_flanks	HG00558#1#CM088491.1	228782742-228956540	HG00558#1#CM088491.1:228624444-228782742(+,158225bp)	HG00558#1#CM088491.1:228956540-229156180(+,199580bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (2 screened, 2995617 bp)
HG00639_pat_hprc_r2_v1.0.1	ok	40	90318510	20836765	24.7	75300948	85887798	2060147	758336	18	3	5	0	True	HG00639#1#JBHIHE010000028.1	1	chain_both_flanks	HG00639#1#CM088536.1	221536412-221694748	HG00639#1#CM088536.1:221378050-221536412(+,158295bp)	HG00639#1#CM088536.1:221694748-221895101(+,199492bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (1 screened, 245197 bp)
HG00658_pat_hprc_r2_v1.0.1	ok	46	81539689	18482899	38.3	76952288	68340951	10452700	730761	13	1	4	0	True	HG00658#1#JBHIHU010000061.1,HG00658#1#JBHIHU010000080.1	2	chain_both_flanks	HG00658#1#CM088773.1	224945839-225076600	HG00658#1#CM088773.1:224789063-224945839(+,156711bp)	HG00658#1#CM088773.1:225076600-225276931(+,199443bp)	2 unplaced contig(s) without CenSat rDNA label added by tile screen (6 screened, 5142197 bp)
HG00673_pat_hprc_r2_v1.0.1	ok	28	78181848	16680921	16.8	76737212	65439522	10041621	778254	11	2	1	0	True	HG00673#1#JAHBBZ020000024.1,HG00673#1#JAHBBZ020000079.1,HG00673#1#JAHBBZ020000081.1	3	chain_both_flanks	HG00673#1#JAHBBZ020000012.1	87456964-87635218	HG00673#1#JAHBBZ020000012.1:87298422-87456964(+,158208bp)	HG00673#1#JAHBBZ020000012.1:87635218-87834839(+,199560bp)	3 unplaced contig(s) without CenSat rDNA label added by tile screen (3 screened, 185124 bp)
HG01071_pat_hprc_r2_v1.0.1	ok	43	98019235	22010634	24.9	85024996	86884559	8809568	712880	16	1	5	0	True	HG01071#1#JAHBCF020000022.1,HG01071#1#JAHBCF020000029.1	2	chain_both_flanks	HG01071#1#CM089111.1	228085197-228198077	HG01071#1#CM089111.1:227928421-228085197(+,156701bp)	HG01071#1#CM089111.1:228198077-228397741(+,199523bp)	2 unplaced contig(s) without CenSat rDNA label added by tile screen (3 screened, 457003 bp)
HG01074_pat_hprc_r2_v1.0.1	ok	42	84473883	19446559	2.7	83370668	73919995	7715665	822946	15	3	4	0	False		0	chain_both_flanks	HG01074#1#JBHIHW010000042.1	90417914-90640860	HG01074#1#JBHIHW010000042.1:90259583-90417914(+,158231bp)	HG01074#1#JBHIHW010000042.1:90640860-90840478(+,199578bp)	
HG01081_pat_hprc_r2_v1.0.1	ok	35	87014746	19676383	7.9	74159253	82709507	1956399	736612	17	1	7	0	False		0	chain_both_flanks	HG01081#1#JBHIHG010000016.1	88524036-88660648	HG01081#1#JBHIHG010000016.1:88365689-88524036(+,158238bp)	HG01081#1#JBHIHG010000016.1:88660648-88860946(+,199445bp)	
HG01123_pat_hprc_r2_v1.0.1	ok	26	77133779	17650291	1.1	76335201	69626425	5096547	798578	9	4	2	0	False		0	chain_both_flanks	HG01123#1#CM089081.1	223555074-223753652	HG01123#1#CM089081.1:223396720-223555074(+,158263bp)	HG01123#1#CM089081.1:223753652-223954024(+,199461bp)	
HG01150_pat_hprc_r2_v1.0.1	ok	33	77328932	17533411	21.6	76305520	69545345	5211643	959715	12	2	5	0	True	HG01150#1#JBHIHI010000104.1	1	chain_both_flanks	HG01150#1#JBHIHI010000014.1	91725293-92085008	HG01150#1#JBHIHI010000014.1:91566962-91725293(+,158205bp)	HG01150#1#JBHIHI010000014.1:92085008-92284645(+,199588bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (2 screened, 2828074 bp)
HG01252_pat_hprc_r2_v1.0.1	ok	26	74531332	16753343	3.3	73555902	70791113	844178	975430	13	1	6	0	False		0	chain_both_flanks	HG01252#1#JBHIHY010000009.1	108095960-108471390	HG01252#1#JBHIHY010000009.1:107937628-108095960(+,158210bp)	HG01252#1#JBHIHY010000009.1:108471390-108671763(+,199539bp)	
HG01358_pat_hprc_r2_v1.0.1	ok	41	78683137	18775674	30.5	73783902	72350746	3388798	928316	17	1	9	0	True	HG01358#1#JAGYZB020000019.1,HG01358#1#JAGYZB020000067.1	2	chain_both_flanks	HG01358#1#JAGYZB020000003.1	92277709-92606025	HG01358#1#JAGYZB020000003.1:92119385-92277709(+,158264bp)	HG01358#1#JAGYZB020000003.1:92606025-92806017(+,199531bp)	2 unplaced contig(s) without CenSat rDNA label added by tile screen (4 screened, 4937076 bp)
HG01361_pat_hprc_r2_v1.0.1	ok	35	78922931	18318009	24.0	77492270	71677082	4895666	737955	15	6	4	0	True	HG01361#1#JAGYYX020000036.1,HG01361#1#JAGYYX020000040.1,HG01361#1#JAGYYX020000045.1,HG01361#1#JAGYYX020000079.1	4	chain_both_flanks	HG01361#1#CM089019.1	227016017-227153972	HG01361#1#CM089019.1:226857698-227016017(+,158226bp)	HG01361#1#CM089019.1:227153972-227354403(+,199445bp)	4 unplaced contig(s) without CenSat rDNA label added by tile screen (4 screened, 316918 bp)
HG01928_pat_hprc_r2_v1.0.1	ok	38	89057968	20759253	30.5	74827798	73704678	12512654	825359	15	0	2	1	True	HG01928#1#JAGYVQ020000069.1	1	chain_both_flanks	HG01928#1#CM088983.1	228012176-228237535	HG01928#1#CM088983.1:227853855-228012176(+,158224bp)	HG01928#1#CM088983.1:228237535-228437163(+,199581bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (2 screened, 1914443 bp)
HG01934_pat_hprc_r2_v1.0.1	ok	45	84580626	18333183	0.5	83253739	71103519	10640824	821005	14	4	3	0	False		0	chain_both_flanks	HG01934#1#CM088836.1	227166593-227387598	HG01934#1#CM088836.1:227008227-227166593(+,158262bp)	HG01934#1#CM088836.1:227387598-227587978(+,199477bp)	
HG01940_pat_hprc_r2_v1.0.1	ok	29	78148802	17744189	40.1	76039961	66305474	9405629	825471	13	2	3	1	True	HG01940#1#JBHIHK010000064.1	1	chain_both_flanks	HG01940#1#CM088628.1	222820489-223045960	HG01940#1#CM088628.1:222662178-222820489(+,158233bp)	HG01940#1#CM088628.1:223045960-223245604(+,199601bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (2 screened, 378604 bp)
HG01960_pat_hprc_r2_v1.0.1	ok	27	77537739	17711276	4.7	74961310	71471616	3664332	789563	13	1	3	0	False		0	chain_both_flanks	HG01960#1#CM088644.1	228284256-228473819	HG01960#1#CM088644.1:228125920-228284256(+,158233bp)	HG01960#1#CM088644.1:228473819-228674220(+,199553bp)	
HG01969_pat_hprc_r2_v1.0.1	ok	30	89809595	20036106	30.4	76751851	77857363	9503348	836656	13	4	3	0	True	HG01969#1#JBHIHO010000074.1,HG01969#1#JBHIHO010000078.1	2	chain_both_flanks	HG01969#1#CM088683.1	219869626-220106282	HG01969#1#CM088683.1:219711282-219869626(+,158259bp)	HG01969#1#CM088683.1:220106282-220306701(+,199400bp)	2 unplaced contig(s) without CenSat rDNA label added by tile screen (3 screened, 269986 bp)
HG01978_pat_hprc_r2_v1.1.0	ok	45	99878158	25705401	21.8	97328114	82737361	14745704	782865	16	1	4	0	True	HG01978#1#JAGYVR020000027.1,HG01978#1#JAGYVR020000081.1	2	chain_both_flanks	HG01978#1#JAGYVR020000015.1	89259162-89442027	HG01978#1#JAGYVR020000015.1:89100850-89259162(+,158216bp)	HG01978#1#JAGYVR020000015.1:89442027-89641653(+,199579bp)	2 unplaced contig(s) without CenSat rDNA label added by tile screen (5 screened, 14505019 bp)
HG02071_pat_hprc_r2_v1.0.1	ok	54	92404902	22349820	24.5	90932941	85313227	4446450	724583	20	1	8	0	True	HG02071#1#JBHIGI010000038.1,HG02071#1#JBHIGI010000083.1	2	chain_both_flanks	HG02071#1#CM088256.1	227565750-227690333	HG02071#1#CM088256.1:227407428-227565750(+,158224bp)	HG02071#1#CM088256.1:227690333-227889950(+,199581bp)	2 unplaced contig(s) without CenSat rDNA label added by tile screen (2 screened, 353971 bp)
HG02074_pat_hprc_r2_v1.0.1	ok	71	91460917	20532743	32.4	76397911	79289528	9460304	819092	26	4	7	2	True	HG02074#1#JBHIGK010000116.1,HG02074#1#JBHIGK010000127.1	2	chain_both_flanks	HG02074#1#JBHIGK010000004.1	90986662-91205754	HG02074#1#JBHIGK010000004.1:90828429-90986662(+,158142bp)	HG02074#1#JBHIGK010000004.1:91205754-91406087(+,199501bp)	2 unplaced contig(s) without CenSat rDNA label added by tile screen (3 screened, 351982 bp)
HG02135_pat_hprc_r2_v1.0.1	ok	63	99032964	23054260	25.1	71673166	77055803	19192329	769555	23	1	5	0	True	HG02135#1#JBHIGM010000043.1	1	chain_both_flanks	HG02135#1#JBHIGM010000096.1	87363787-87533342	HG02135#1#JBHIGM010000096.1:87205476-87363787(+,158224bp)	HG02135#1#JBHIGM010000096.1:87533342-87733679(+,199441bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (2 screened, 197834 bp)
HG02257_pat_hprc_r2_v1.1.0	ok	53	96073247	21531102	36.6	86296855	84356312	9178622	926085	18	0	5	0	True	HG02257#1#JAGYVH020000048.1,HG02257#1#JAGYVH020000052.1,HG02257#1#JAGYVH020000111.1	3	chain_both_flanks	HG02257#1#JAGYVH020000015.1	88819681-89145766	HG02257#1#JAGYVH020000015.1:88661340-88819681(+,158323bp)	HG02257#1#JAGYVH020000015.1:89145766-89345403(+,199586bp)	3 unplaced contig(s) without CenSat rDNA label added by tile screen (4 screened, 1204030 bp)
HG02668_pat_hprc_r2_v1.0.1	ok	58	106891133	23617506	3.3	81109822	100784451	3666670	827806	22	3	6	0	False		0	chain_both_flanks	HG02668#1#JBHIIC010000011.1	81456759-81684565	HG02668#1#JBHIIC010000011.1:81298473-81456759(+,158202bp)	HG02668#1#JBHIIC010000011.1:81684565-81884774(+,199465bp)	
HG02717_pat_hprc_r2_v1.0.1	ok	48	83806776	18768612	1.9	82925617	72235048	8825520	730951	20	0	7	0	False		0	chain_both_flanks	HG02717#1#JAHAOS020000003.1	93483475-93614426	HG02717#1#JAHAOS020000003.1:93326688-93483475(+,156673bp)	HG02717#1#JAHAOS020000003.1:93614426-93814560(+,199450bp)	
HG02809_pat_hprc_r2_v1.0.1	ok	50	73447636	17367558	28.4	71105290	62545718	8497845	791844	16	2	3	0	True	HG02809#1#JBHIGO010000071.1,HG02809#1#JBHIGO010000088.1	2	chain_both_flanks	HG02809#1#JBHIGO010000060.1	88489792-88681636	HG02809#1#JBHIGO010000060.1:88331504-88489792(+,158172bp)	HG02809#1#JBHIGO010000060.1:88681636-88881356(+,199396bp)	2 unplaced contig(s) without CenSat rDNA label added by tile screen (4 screened, 4102561 bp)
HG03017_pat_hprc_r2_v1.0.1	ok	34	96789008	21732043	0.5	83760162	92384661	1615067	774003	18	2	8	0	False		0	chain_both_flanks	HG03017#1#CM088908.1	223369461-223543464	HG03017#1#CM088908.1:223211118-223369461(+,158223bp)	HG03017#1#CM088908.1:223543464-223743086(+,199588bp)	
HG03041_pat_hprc_r2_v1.0.1	ok	32	81079797	17381508	2.0	80160084	77408788	1199919	858871	17	0	7	0	False		0	chain_both_flanks	HG03041#1#CM088710.1	229633980-229892851	HG03041#1#CM088710.1:229475645-229633980(+,158246bp)	HG03041#1#CM088710.1:229892851-230093141(+,199464bp)	
HG03239_pat_hprc_r2_v1.0.1	ok	42	82218067	18050418	28.0	81181447	66362096	13400578	843165	13	2	4	0	True	HG03239#1#JBHIHS010000028.1,HG03239#1#JBHIHS010000065.1,HG03239#1#JBHIHS010000071.1	3	chain_both_flanks	HG03239#1#CM088744.1	225921089-226164254	HG03239#1#CM088744.1:225762715-225921089(+,158239bp)	HG03239#1#CM088744.1:226164254-226364477(+,199513bp)	3 unplaced contig(s) without CenSat rDNA label added by tile screen (4 screened, 404746 bp)
HG03516_pat_hprc_r2_v1.1.0	ok	40	85579616	17994915	1.1	84151537	73458714	9566874	941800	14	3	4	0	False		0	chain_both_flanks	HG03516#1#CM089203.1	229432009-229773809	HG03516#1#CM089203.1:229273721-229432009(+,158196bp)	HG03516#1#CM089203.1:229773809-229974175(+,199492bp)	
