sample	haplotype	hap_index	assembly_name	method	version	phasing	source	total_length	n_contigs	censat_rdna_n	censat_rdna_bp	chr13_contigs	chr13_t2t	chr13_gaps	chr13_n_random	chr13_rdna_bp	chr14_contigs	chr14_t2t	chr14_gaps	chr14_n_random	chr14_rdna_bp	chr15_contigs	chr15_t2t	chr15_gaps	chr15_n_random	chr15_rdna_bp	chr21_contigs	chr21_t2t	chr21_gaps	chr21_n_random	chr21_rdna_bp	chr22_contigs	chr22_t2t	chr22_gaps	chr22_n_random	chr22_rdna_bp	unplaced_rdna_bp	censat_source	missing_files	notes
HG01940	pat	1	HG01940_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3036230596	71	31.0	2775690.0				1	189374				5	655841	HG01940#1#CM088638.1	contig	0	0	278515				6	369062				2	275768	994902	local:hprc_censat		
HG01960	pat	1	HG01960_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3038712028	72	31.0	2597431.0				1	3079				4	866787				3	13234				2	231406	HG01960#1#CM088656.1	contig	0	3	330292	1140405	local:hprc_censat		
HG01969	pat	1	HG01969_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3027524738	84	39.0	4779607.0				2	504468				5	953743				1	622220	HG01969#1#CM088695.1	contig	0	2	626637				6	610071	1450240	local:hprc_censat		
HG01978	pat	1	HG01978_pat_hprc_r2_v1.1.0	hifiasm	0.19.9	trio	hprc	3049871774	97	46.0	5416516.0				1	54346				3	105934				1	108847				5	890429				7	621113	3623619	local:hprc_censat		
HG02071	pat	1	HG02071_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	2921041254	110	57.0	4694484.0				6	430181				5	374684				3	157137				4	107216				3	581018	2403701	local:hprc_censat		
HG02074	pat	1	HG02074_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	2937665312	141	72.0	4907908.0				4	303072				5	360481	HG02074#1#CM088276.1	scaffold	2	5	394221				11	1048304				4	53566	2732987	local:hprc_censat		
HG02135	pat	1	HG02135_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	2949762196	175	62.0	6719679.0				8	407455				8	1383710				1	148538	HG02135#1#CM088317.1	contig	0	2	733970				4	397159	3633570	local:hprc_censat		
HG02257	pat	1	HG02257_pat_hprc_r2_v1.1.0	hifiasm	0.19.9	trio	hprc	3046522005	113	49.0	3647967.0				1	126143				6	334926				4	11994				3	560870				4	686453	1915353	local:hprc_censat		
HG02668	pat	1	HG02668_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	2951334881	103	59.0	4858118.0				4	141767				11	1076481				1	152278				6	441949				3	327735	2705702	local:hprc_censat		
HG02717	pat	1	HG02717_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	2945414934	86	56.0	3689255.0				1	99781				6	705186				1	293924				7	1112218				5	386278	1076611	local:hprc_censat		
HG02809	pat	1	HG02809_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3033729543	92	50.0	4273674.0	HG02809#1#CM088351.1	contig	0	0	187550				3	413130				5	54464				4	961715	HG02809#1#CM088357.1	contig	0	4	563796	2080790	local:hprc_censat		
HG03017	pat	1	HG03017_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	2944823524	77	40.0	6087084.0				4	1864800				6	1438672				2	11993				3	474879				5	978236	1303227	local:hprc_censat		
HG03041	pat	1	HG03041_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3041756498	53	42.0	4236821.0				1	276934				5	1148562				1	241173				6	841048				4	708234	1008651	local:hprc_censat		
HG03239	pat	1	HG03239_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3025605445	71	50.0	4017705.0				1	3078				5	673307				1	151794				5	515526				3	249953	2411819	local:hprc_censat		
HG03516	pat	1	HG03516_pat_hprc_r2_v1.1.0	hifiasm	0.19.9	trio	hprc	3045861377	74	44.0	3084479.0				2	274591				6	476848				1	194653				4	101047				4	471216	1411038	local:hprc_censat		
HG03804	pat	1	HG03804_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3034033633	79	31.0	2132681.0	HG03804#1#CM088337.1	contig	0	7	330574				4	249137				1	11993				3	52476				5	610307	865966	local:hprc_censat		
HG03942	pat	1	HG03942_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	2926859353	96	48.0	4422857.0				5	243725				3	878108				1	428214	HG03942#1#CM088400.1	contig	0	2	375734				7	916444	1565365	local:hprc_censat		
HG04157	pat	1	HG04157_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	2947111749	130	43.0	2586045.0				2	145220				7	832809				2	63787	HG04157#1#CM088422.1	scaffold	1	2	152733				5	432236	943983	local:hprc_censat		
HG04160	pat	1	HG04160_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	2951772771	108	45.0	2288754.0				5	0				8	306732				4	65462	HG04160#1#CM088435.1	scaffold	3	9	321911				4	658261	921111	local:hprc_censat		
HG04204	pat	1	HG04204_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	2940701950	121	48.0	4444552.0				2	465064				5	515453				2	346634				4	1405030				1	688120	1008974	local:hprc_censat		
HG04228	pat	1	HG04228_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	2932691154	93	40.0	3523071.0				2	496062				3	291877				1	11993				6	523057				3	416531	1768274	local:hprc_censat		
HG00706	pat	1	HG00706_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	2932473439	96	43.0	3307314.0				3	3078				4	660214				2	63646				1	53113				7	694488	1817498	local:hprc_censat		
HG03816	pat	1	HG03816_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3043861278	79	47.0	4009180.0				4	222068				4	935787				1	63886	HG03816#1#CM100038.1	scaffold	2	2	293395				4	438502	2043314	local:hprc_censat		
HG00423	pat	1	HG00423_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3037753962	68	30.0	2263529.0				4	0	HG00423#1#CM089407.1	scaffold	1	2	467834				4	1028407				3	344514	HG00423#1#CM089411.1	scaffold	2	0	59363	351182	local:hprc_censat		
HG00544	pat	1	HG00544_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3012861499	61	34.0	2790263.0				2	332838				4	299410				1	64680	HG00544#1#CM089380.1	contig	0	0	53175	HG00544#1#CM089381.1	contig	0	4	380057	1647875	local:hprc_censat		
HG01943	pat	1	HG01943_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	2921296798	117	45.0	3178594.0				3	228603				4	562504				1	198375				1	137814	HG01943#1#CM089361.1	contig	0	3	197044	1838977	local:hprc_censat		
HG02735	pat	1	HG02735_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	2938416004	110	56.0	3581957.0				1	321826				9	386402				2	201677				4	249327				2	199884	2207564	local:hprc_censat		
HG03225	hap1	1	HG03225_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2942097360	77	56.0	5999583.0				3	1105461				7	853692				1	99346				6	1352490				3	194145	2379181	local:hprc_censat		
NA19159	hap1	1	NA19159_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3051951431	83	46.0	6011661.0				1	269496	NA19159#1#CM099950.1	contig	0	4	735901	NA19159#1#CM099951.1	scaffold	1	4	183231	NA19159#1#CM099957.1	contig	0	3	730996				4	604677	3475133	local:hprc_censat		
HG00126	hap1	1	HG00126_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2945819519	74	49.0	5672249.0				4	631861				8	1295419				2	13234				3	292187				5	1312952	1833904	local:hprc_censat		
HG00128	hap1	1	HG00128_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3056461595	78	43.0	4148844.0				4	882904	HG00128#1#CM090087.1	contig	0	7	1427539	HG00128#1#CM090088.1	scaffold	1	0	63134				3	54198				3	377796	1014405	local:hprc_censat		
HG00133	hap1	1	HG00133_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3022551977	64	35.0	3929310.0				1	3079	HG00133#1#CM090055.1	contig	0	4	580485				1	11993				3	592694				5	1069663	1659168	local:hprc_censat		
HG00146	hap1	1	HG00146_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3008366934	97	48.0	5780133.0				4	555498				9	1680917				5	288239				4	339984				6	209663	2693604	local:hprc_censat		
HG00232	hap1	1	HG00232_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3034419784	69	35.0	3171120.0				3	100021				3	517174				2	107734				4	251895				2	703982	1478086	local:hprc_censat		
HG00290	hap1	1	HG00290_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2936962988	71	52.0	6592219.0				2	1779223				2	421538				2	11993				2	356909				4	818692	3188587	local:hprc_censat		
HG00320	hap1	1	HG00320_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3042866138	88	45.0	5954499.0				3	3078				5	736914				5	533034				6	1680576				5	762127	2226542	local:hprc_censat		
HG00321	hap1	1	HG00321_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2969014751	112	49.0	5684702.0				3	1455521				5	1719644	HG00321#1#CM089548.1	scaffold	1	1	63747				4	157029				2	568814	1704675	local:hprc_censat		
HG01786	hap1	1	HG01786_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3032664379	89	51.0	5960600.0				4	325035				3	653831				2	291036				5	250923				6	900021	3527526	local:hprc_censat		
HG02178	hap1	1	HG02178_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3015981817	63	27.0	3545794.0				3	510859				2	331438				3	11993				4	465940				1	225738	1987598	local:hprc_censat		
HG02583	hap1	1	HG02583_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3068129497	72	36.0	5324549.0				4	324749				4	553437	HG02583#1#CM089494.1	contig	0	2	1011120				7	1571910	HG02583#1#CM089500.1	scaffold	2	0	394897	1456208	local:hprc_censat		
HG03270	hap1	1	HG03270_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3042024418	87	47.0	7143572.0				4	0				11	1848047				1	241451				4	2552161				5	613739	1879017	local:hprc_censat		
HG03583	hap1	1	HG03583_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3021847772	89	36.0	4150148.0				3	775504				15	2053495				3	1241				6	202143	HG03583#1#CM089887.1	scaffold	1	0	537723	336425	local:hprc_censat		
HG03874	hap1	1	HG03874_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3037473810	70	43.0	4642904.0				2	450599				2	105422				2	11993	HG03874#1#CM089442.1	contig	0	1	530735	HG03874#1#CM089443.1	contig	0	4	568747	2963180	local:hprc_censat		
NA18505	hap1	1	NA18505_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3032656490	81	42.0	4669764.0				1	3078				4	471125	NA18505#1#CM089865.1	contig	0	2	240240				3	1479461				4	608980	1854662	local:hprc_censat		
NA18508	hap1	1	NA18508_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3026197614	62	33.0	3989500.0	NA18508#1#CM089652.1	contig	0	1	234125				4	1045109				5	684179				1	99940				7	613019	1303960	local:hprc_censat		
NA18608	hap1	1	NA18608_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2939438464	61	43.0	4422351.0				2	191051				5	908974				1	13234				4	1495930				2	818942	978943	local:hprc_censat		
NA18620	hap1	1	NA18620_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2950568788	159	46.0	6324393.0				4	3078				5	1484403				7	243089				14	918938				1	533842	3122706	local:hprc_censat		
NA18952	hap1	1	NA18952_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2933014140	102	48.0	5347773.0				3	464151				7	887577				5	693141				5	605628				4	554952	1854451	local:hprc_censat		
NA18974	hap1	1	NA18974_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2968912520	118	61.0	5315903.0				4	195477				7	1046136				4	206487				5	442035	NA18974#1#CM089783.1	scaffold	2	5	550893	2406394	local:hprc_censat		
NA18976	hap1	1	NA18976_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3025309811	96	40.0	3961439.0				3	234419				3	691369				2	279690				3	503500	NA18976#1#CM089760.1	contig	0	2	565228	1675005	local:hprc_censat		
NA19036	hap1	1	NA19036_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3048886802	71	55.0	5045496.0				3	0	NA19036#1#CM089731.1	scaffold	2	7	1594884				2	107973				3	504103				6	796273	2030035	local:hprc_censat		
NA19443	hap1	1	NA19443_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2958934336	95	51.0	6489066.0	NA19443#1#CM089453.1	scaffold	1	0	234871				5	704348				2	327581				4	1047711				5	2006841	2152437	local:hprc_censat		
NA19700	hap1	1	NA19700_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2949058313	64	47.0	4944329.0				2	697953				3	1206163	NA19700#1#CM089628.1	scaffold	1	0	519231				3	54136				5	673470	1781169	local:hprc_censat		
NA20870	hap1	1	NA20870_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2939316511	75	43.0	3826296.0				3	640093				2	67941	NA20870#1#CM089704.1	contig	0	2	190376				3	370151				2	237241	2305217	local:hprc_censat		
NA21093	hap1	1	NA21093_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2954194670	99	47.0	4357566.0				1	405809				7	1092194				2	13234				5	1250261				6	796398	784393	local:hprc_censat		
NA21106	hap1	1	NA21106_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3018663442	61	32.0	4655213.0				2	48823				3	691023	NA21106#1#CM089563.1	scaffold	1	1	61943				3	1183554				5	413396	2247293	local:hprc_censat		
NA21110	hap1	1	NA21110_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3030281100	68	40.0	5719508.0				1	147205				2	426653				1	152325				2	644759				7	1671261	2665078	local:hprc_censat		
HG02392	hap1	1	HG02392_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2935131877	86	48.0	5703884.0				2	141438	HG02392#1#CM099886.1	contig	0	1	239799				2	468807				6	1120166	HG02392#1#CM099888.1	scaffold	1	3	1434153	2284244	local:hprc_censat		
HG02514	pat	1	HG02514_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	2933866521	82	34.0	3573629.0				2	110902				6	1143296				1	200528				1	0	HG02514#1#CM098742.1	scaffold	2	1	636360	1147654	local:hprc_censat		
HG02841	pat	1	HG02841_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3047451075	94	42.0	3069695.0				3	276854				7	451197				1	11993				3	276017				7	244291	1757881	local:hprc_censat		
HG02984	pat	1	HG02984_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	2922783173	70	33.0	3608047.0				5	143951	HG02984#1#CM098797.1	contig	0	2	516687				8	650501				2	469004	HG02984#1#CM098801.1	scaffold	1	4	479006	1339762	local:hprc_censat		
HG03050	pat	1	HG03050_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	2928019044	98	54.0	3188919.0				1	233682				5	245988				1	106740				2	184089				5	246911	1993829	local:hprc_censat		
NA20799	hap1	1	NA20799_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3047904344	101	62.0	9394947.0				4	446258				6	1820480				2	198380				4	1956304	NA20799#1#CM098697.1	contig	0	5	798038	4163259	local:hprc_censat		
HG01109	pat	1	HG01109_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	2915645599	119	43.0	2883274.0				21	142959				6	968737				3	19031				7	494269				3	53977	1189024	s3:working/HPRC_PLUS/HG01109/assemblies/release2/annotation/censat/HG01109_pat_hprc_r2_v1.cenSat.bed		
HG02055	pat	1	HG02055_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	2959450968	106	54.0	4627395.0				2	96570				8	831425				1	195109				10	1088020				5	609671	1791323	s3:working/HPRC_PLUS/HG02055/assemblies/release2/annotation/censat/HG02055_pat_hprc_r2_v1.cenSat.bed		
HG02080	pat	1	HG02080_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3028964752	91	52.0	4710110.0				2	35612				10	2150303				2	64519				6	166449				2	10127	2270872	s3:working/HPRC_PLUS/HG02080/assemblies/release2/annotation/censat/HG02080_pat_hprc_r2_v1.cenSat.bed		
HG02109	pat	1	HG02109_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3035503866	109	51.0	3471737.0				1	54913	HG02109#1#CM092168.1	contig	0	4	292134				1	58137				1	141933				4	247481	2342089	s3:working/HPRC_PLUS/HG02109/assemblies/release2/annotation/censat/HG02109_pat_hprc_r2_v1.cenSat.bed		
HG02723	pat	1	HG02723_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3043950469	80	38.0	3633893.0				2	35559				5	1218655				6	59827	HG02723#1#CM092043.1	contig	0	0	99998				3	569004	1638624	s3:working/HPRC_PLUS/HG02723/assemblies/release2/annotation/censat/HG02723_pat_hprc_r2_v1.cenSat.bed		
HG02818	pat	1	HG02818_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3019047514	76	37.0	2438552.0				2	288792				2	411802				2	151172				1	0				7	325438	1249121	s3:working/HPRC_PLUS/HG02818/assemblies/release2/annotation/censat/HG02818_pat_hprc_r2_v1.cenSat.bed		
HG03098	pat	1	HG03098_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	2939964980	112	46.0	3986495.0				1	10115				3	378161				2	606549				3	599588				3	466838	1909967	s3:working/HPRC_PLUS/HG03098/assemblies/release2/annotation/censat/HG03098_pat_hprc_r2_v1.cenSat.bed		
HG03486	pat	1	HG03486_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3055461096	124	49.0	4868205.0				2	3079				5	1045883				3	13234				3	564075				4	527118	2702589	s3:working/HPRC_PLUS/HG03486/assemblies/release2/annotation/censat/HG03486_pat_hprc_r2_v1.cenSat.bed		
NA18906	pat	1	NA18906_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3037177237	126	53.0	5102423.0				8	0				12	516291				1	109310				4	1406553	NA18906#1#CM091945.1	contig	0	0	231318	2826723	s3:working/HPRC_PLUS/NA18906/assemblies/release2/annotation/censat/NA18906_pat_hprc_r2_v1.cenSat.bed		
NA20129	pat	1	NA20129_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3035733452	88	28.0	2504048.0				2	54247				3	6101	NA20129#1#CM092139.1	scaffold	1	2	296371				3	1217245				3	402842	515014	s3:working/HPRC_PLUS/NA20129/assemblies/release2/annotation/censat/NA20129_pat_hprc_r2_v1.cenSat.bed		
NA21309	pat	1	NA21309_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3039155404	95	36.0	2927500.0				3	0				3	344685				3	109333				2	557181				7	512037	1395096	s3:working/HPRC_PLUS/NA21309/assemblies/release2/annotation/censat/NA21309_pat_hprc_r2_v1.cenSat.bed		
HG00733	pat	1	HG00733_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3035753094	90	47.0	4243544.0				2	288396				8	1599874				3	197882				3	55482				8	952301	1137381	s3:working/HPRC_PLUS/HG00733/assemblies/release2/annotation/censat/HG00733_pat_hprc_r2_v1.0.1.cenSat.bed		
HG01243	pat	1	HG01243_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	2919240460	94	50.0	5431849.0				1	547568				2	199818				1	641390				6	1004867				7	411481	2094242	s3:working/HPRC_PLUS/HG01243/assemblies/release2/annotation/censat/HG01243_pat_hprc_r2_v1.0.1.cenSat.bed		
NA19240	pat	1	NA19240_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3038833213	64	39.0	4528821.0				2	0				7	1661061				1	195851				2	94140				6	826584	1738957	s3:working/HPRC_PLUS/NA19240/assemblies/release2/annotation/censat/NA19240_pat_hprc_r2_v1.0.1.cenSat.bed		
HG005	pat	1	HG005_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	2936560154	110	63.0	4606729.0				2	390168				4	258731				3	161401				3	241368				3	434157	3105627	s3:working/HPRC_PLUS/HG005/assemblies/release2/annotation/censat/HG005_pat_hprc_r2_v1.0.1.cenSat.bed		
HG00097	hap1	1	HG00097_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3034131346	75	57.0	6065258.0				4	934506				2	322545				2	468105	HG00097#1#CM094072.1	contig	0	5	1645791	HG00097#1#CM094073.1	contig	0	3	635571	2046512	local:hprc_censat		
HG00235	hap1	1	HG00235_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3019355776	71	37.0	3624523.0				2	275528				4	730987				1	0				3	519091	HG00235#1#CM094380.1	contig	0	4	1190920	895769	local:hprc_censat		
HG00253	hap1	1	HG00253_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3032885449	82	45.0	3653443.0				2	1006877				3	378363				1	11994				2	97950	HG00253#1#CM094467.1	scaffold	2	5	695234	1453877	local:hprc_censat		
HG00272	hap1	1	HG00272_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3041251865	74	37.0	5964273.0	HG00272#1#CM094196.1	contig	0	1	681595				5	779123				1	285410				3	1276128				1	3055	2926733	local:hprc_censat	chain	GRCh38 chain missing
HG00329	hap1	1	HG00329_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2930096732	66	34.0	3389389.0				1	196273	HG00329#1#CM094233.1	contig	0	2	687482				2	0				8	1482548	HG00329#1#CM094238.1	contig	0	2	302221	705588	local:hprc_censat		
HG00344	hap1	1	HG00344_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3056229783	89	59.0	5943438.0				2	231725				4	202917				5	619622				6	1005283				4	927899	2943763	local:hprc_censat		
HG00350	hap1	1	HG00350_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3022190943	76	45.0	4410154.0				2	6156				2	791786				2	11993				4	509670				10	1337950	1369256	local:hprc_censat		
HG01167	hap1	1	HG01167_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2960467225	97	43.0	4275737.0	HG01167#1#CM094532.1	contig	0	5	190874	HG01167#1#CM094533.1	scaffold	1	5	1332347				5	423380				2	99425				6	485400	1729034	local:hprc_censat		
HG03369	hap1	1	HG03369_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3042981283	66	48.0	8207869.0				1	143733				9	4166494				1	511833				1	98185				5	960318	1998822	local:hprc_censat		
HG03521	hap1	1	HG03521_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2931797765	79	41.0	4963490.0				3	1506691				4	445143				1	372232				1	322499				4	519718	1778890	local:hprc_censat		
HG03784	hap1	1	HG03784_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3053320161	92	51.0	5140488.0				3	235968				9	1534339				7	462216				4	633855				2	884530	1377352	local:hprc_censat		
NA18565	hap1	1	NA18565_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3034051429	86	38.0	3246500.0				2	54186				4	150350				2	443856				2	170011	NA18565#1#CM094328.1	scaffold	1	2	379176	2036693	local:hprc_censat		
NA19682	hap1	1	NA19682_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2928664823	64	43.0	5583119.0				1	421918	NA19682#1#CM094156.1	contig	0	3	1015215				1	236370				3	923064				2	718921	2252363	local:hprc_censat		
NA19776	hap1	1	NA19776_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3046644309	78	56.0	4909939.0				2	232672				6	2187275				1	11993				5	432927				3	91778	1941066	local:hprc_censat		
NA19835	hap1	1	NA19835_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3025315903	82	50.0	5881681.0				3	199496				9	2861352				1	392242				2	133541				4	655543	1627288	local:hprc_censat		
NA19909	hap1	1	NA19909_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3043797705	66	40.0	5218570.0				1	419885				3	461480				3	293489				1	508955				2	278857	3243676	local:hprc_censat		
NA20282	hap1	1	NA20282_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3049741901	78	37.0	4477931.0				2	856795				5	1094145				4	13233				1	582977				2	380692	1537861	local:hprc_censat		
NA20346	hap1	1	NA20346_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2949496588	100	59.0	6767010.0				2	416329				6	452194				3	429091				2	505034				9	1856664	3092422	local:hprc_censat		
NA20809	hap1	1	NA20809_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2957426484	102	49.0	4255298.0				4	408646				7	751883				5	11993				4	283050				5	839531	1944918	local:hprc_censat		
NA20850	hap1	1	NA20850_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2925557644	73	40.0	3163553.0				2	318887				4	955836				2	71253	NA20850#1#CM094301.1	contig	0	0	416575				5	409473	976252	local:hprc_censat		
NA21102	hap1	1	NA21102_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3049492957	78	45.0	4685514.0				3	458455				3	1103279				3	650801				6	760658				5	872032	828061	local:hprc_censat		
NA21144	hap1	1	NA21144_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3037908004	80	49.0	6526995.0				4	789571				5	1095431				5	465129				6	1421551				3	825166	1917919	local:hprc_censat		
HG00735	pat	1	HG00735_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3029527752	82	34.0	2285929.0				6	0				1	328008				1	421049				5	212983				2	285135	884153	local:hprc_censat		
HG02155	hap1	1	HG02155_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3028269862	83	44.0	6073182.0				2	415905				4	1242486	HG02155#1#CM091918.1	contig	0	0	155255				3	864437				5	572828	2249664	local:hprc_censat		
HG02630	pat	1	HG02630_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3055623940	134	57.0	3995067.0				5	0				10	1338702				3	100176				4	243949				3	287984	2012029	local:hprc_censat		
HG03139	hap1	1	HG03139_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2936552828	64	43.0	3384025.0	HG03139#1#CM091858.1	scaffold	1	0	143219				5	478900				1	309264	HG03139#1#CM091864.1	scaffold	1	1	829460	HG03139#1#CM091865.1	contig	0	3	372169	1235736	local:hprc_censat		
HG03470	hap1	1	HG03470_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3042147490	94	48.0	10368193.0				5	0				5	786112				4	744855				2	1002665	HG03470#1#CM091834.1	contig	0	4	1765638	6056696	local:hprc_censat		
HG03579	pat	1	HG03579_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	2943146018	82	44.0	4010536.0				5	51946				8	744442				2	384445				7	976878				2	358505	1479043	local:hprc_censat		
NA20805	hap1	1	NA20805_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2920853688	89	46.0	3976048.0				7	404745				2	136865				2	63988				3	356085				3	190365	2805642	local:hprc_censat		
